# time  ID  size  fromHost  toHost  TTL  isResponse
120.0000 MA1 1000 beacon10 beacon11210 10 N 
120.0000 MB1 1000 beacon21 beacon11210 10 N 
120.0000 MC1 1000 beacon32 beacon11210 10 N 
120.0000 MD1 1000 beacon43 beacon11210 10 N 
120.0000 ME1 1000 beacon54 beacon11210 10 N 
120.0000 MF1 1000 beacon65 beacon11210 10 N 
120.0000 MG1 1000 beacon76 beacon11210 10 N 
120.0000 MH1 1000 beacon87 beacon11210 10 N 
120.0000 MI1 1000 beacon98 beacon11210 10 N 
120.0000 MJ1 1000 beacon109 beacon11210 10 N 
240.0000 MA2 1000 beacon10 beacon11210 10 N 
240.0000 MB2 1000 beacon21 beacon11210 10 N 
240.0000 MC2 1000 beacon32 beacon11210 10 N 
240.0000 MD2 1000 beacon43 beacon11210 10 N 
240.0000 ME2 1000 beacon54 beacon11210 10 N 
240.0000 MF2 1000 beacon65 beacon11210 10 N 
240.0000 MG2 1000 beacon76 beacon11210 10 N 
240.0000 MH2 1000 beacon87 beacon11210 10 N 
240.0000 MI2 1000 beacon98 beacon11210 10 N 
240.0000 MJ2 1000 beacon109 beacon11210 10 N 
360.0000 MA3 1000 beacon10 beacon11210 10 N 
360.0000 MB3 1000 beacon21 beacon11210 10 N 
360.0000 MC3 1000 beacon32 beacon11210 10 N 
360.0000 MD3 1000 beacon43 beacon11210 10 N 
360.0000 ME3 1000 beacon54 beacon11210 10 N 
360.0000 MF3 1000 beacon65 beacon11210 10 N 
360.0000 MG3 1000 beacon76 beacon11210 10 N 
360.0000 MH3 1000 beacon87 beacon11210 10 N 
360.0000 MI3 1000 beacon98 beacon11210 10 N 
360.0000 MJ3 1000 beacon109 beacon11210 10 N 
480.0000 MA4 1000 beacon10 beacon11210 10 N 
480.0000 MB4 1000 beacon21 beacon11210 10 N 
480.0000 MC4 1000 beacon32 beacon11210 10 N 
480.0000 MD4 1000 beacon43 beacon11210 10 N 
480.0000 ME4 1000 beacon54 beacon11210 10 N 
480.0000 MF4 1000 beacon65 beacon11210 10 N 
480.0000 MG4 1000 beacon76 beacon11210 10 N 
480.0000 MH4 1000 beacon87 beacon11210 10 N 
480.0000 MI4 1000 beacon98 beacon11210 10 N 
480.0000 MJ4 1000 beacon109 beacon11210 10 N 
600.0000 MA5 1000 beacon10 beacon11210 10 N 
600.0000 MB5 1000 beacon21 beacon11210 10 N 
600.0000 MC5 1000 beacon32 beacon11210 10 N 
600.0000 MD5 1000 beacon43 beacon11210 10 N 
600.0000 ME5 1000 beacon54 beacon11210 10 N 
600.0000 MF5 1000 beacon65 beacon11210 10 N 
600.0000 MG5 1000 beacon76 beacon11210 10 N 
600.0000 MH5 1000 beacon87 beacon11210 10 N 
600.0000 MI5 1000 beacon98 beacon11210 10 N 
600.0000 MJ5 1000 beacon109 beacon11210 10 N 
