# messageDelay  cumulativeProbability
0.1000 0.0053
0.1000 0.0106
0.7000 0.0159
1.1000 0.0212
2.4000 0.0265
2.6000 0.0317
3.3000 0.0370
4.8000 0.0423
7.2000 0.0476
8.2000 0.0529
8.9000 0.0582
9.3000 0.0635
9.4000 0.0688
9.8000 0.0741
10.4000 0.0794
11.9000 0.0847
11.9000 0.0899
12.6000 0.0952
12.9000 0.1005
14.2000 0.1058
14.5000 0.1111
16.0000 0.1164
16.7000 0.1217
16.8000 0.1270
18.0000 0.1323
20.4000 0.1376
20.6000 0.1429
22.7000 0.1481
23.4000 0.1534
24.6000 0.1587
24.8000 0.1640
25.9000 0.1693
25.9000 0.1746
27.1000 0.1799
28.5000 0.1852
28.7000 0.1905
29.7000 0.1958
30.9000 0.2011
31.3000 0.2063
31.6000 0.2116
32.5000 0.2169
32.9000 0.2222
33.1000 0.2275
34.2000 0.2328
34.5000 0.2381
34.8000 0.2434
35.5000 0.2487
37.9000 0.2540
39.2000 0.2593
39.4000 0.2646
39.8000 0.2698
40.4000 0.2751
40.8000 0.2804
41.3000 0.2857
43.0000 0.2910
43.1000 0.2963
43.5000 0.3016
45.1000 0.3069
46.7000 0.3122
48.4000 0.3175
49.3000 0.3228
49.8000 0.3280
49.8000 0.3333
51.1000 0.3386
51.3000 0.3439
51.4000 0.3492
51.5000 0.3545
51.6000 0.3598
52.6000 0.3651
53.2000 0.3704
54.7000 0.3757
55.0000 0.3810
55.8000 0.3862
56.1000 0.3915
56.3000 0.3968
57.8000 0.4021
57.8000 0.4074
59.1000 0.4127
60.1000 0.4180
60.2000 0.4233
60.6000 0.4286
61.6000 0.4339
62.8000 0.4392
64.2000 0.4444
65.0000 0.4497
67.7000 0.4550
71.5000 0.4603
72.1000 0.4656
73.6000 0.4709
73.9000 0.4762
74.5000 0.4815
77.0000 0.4868
77.5000 0.4921
77.7000 0.4974
77.7000 0.5026
79.9000 0.5079
80.8000 0.5132
82.3000 0.5185
82.4000 0.5238
82.7000 0.5291
83.5000 0.5344
83.8000 0.5397
85.4000 0.5450
85.5000 0.5503
85.7000 0.5556
86.2000 0.5608
86.8000 0.5661
88.1000 0.5714
88.7000 0.5767
90.1000 0.5820
90.1000 0.5873
90.2000 0.5926
90.5000 0.5979
91.5000 0.6032
93.0000 0.6085
95.2000 0.6138
100.6000 0.6190
102.2000 0.6243
104.2000 0.6296
104.9000 0.6349
107.3000 0.6402
108.3000 0.6455
108.6000 0.6508
108.6000 0.6561
109.1000 0.6614
109.1000 0.6667
109.6000 0.6720
112.1000 0.6772
113.8000 0.6825
116.2000 0.6878
116.4000 0.6931
116.7000 0.6984
118.1000 0.7037
118.1000 0.7090
118.8000 0.7143
120.3000 0.7196
120.7000 0.7249
121.1000 0.7302
122.6000 0.7354
125.7000 0.7407
126.1000 0.7460
126.8000 0.7513
128.5000 0.7566
130.9000 0.7619
130.9000 0.7672
132.3000 0.7725
132.4000 0.7778
135.0000 0.7831
135.4000 0.7884
135.9000 0.7937
136.4000 0.7989
137.5000 0.8042
139.8000 0.8095
140.1000 0.8148
142.7000 0.8201
146.9000 0.8254
147.8000 0.8307
151.7000 0.8360
153.8000 0.8413
154.4000 0.8466
157.0000 0.8519
162.3000 0.8571
175.7000 0.8624
187.9000 0.8677
201.3000 0.8730
206.0000 0.8783
206.2000 0.8836
208.4000 0.8889
225.7000 0.8942
283.5000 0.8995
320.8000 0.9048
