# time  created  delivered  delivered/created
5.0000 1 0 0.0000
10.0000 2 0 0.0000
15.0000 3 0 0.0000
20.0000 4 0 0.0000
20.7000 4 1 0.2500
25.0000 5 1 0.2000
30.0000 6 1 0.1667
35.0000 7 1 0.1429
36.3000 7 2 0.2857
40.0000 8 2 0.2500
45.0000 9 2 0.2222
49.2000 9 3 0.3333
50.0000 10 3 0.3000
55.0000 11 3 0.2727
60.0000 12 3 0.2500
65.0000 13 3 0.2308
66.3000 13 4 0.3077
70.0000 14 4 0.2857
75.0000 15 4 0.2667
80.0000 16 4 0.2500
85.0000 17 4 0.2353
90.0000 18 4 0.2222
92.9000 18 5 0.2778
95.0000 19 5 0.2632
100.0000 20 5 0.2500
105.0000 21 5 0.2381
110.0000 22 5 0.2273
110.9000 22 6 0.2727
111.2000 22 7 0.3182
112.4000 22 8 0.3636
115.0000 23 8 0.3478
116.7000 23 9 0.3913
120.0000 24 9 0.3750
125.0000 25 9 0.3600
130.0000 26 9 0.3462
130.1000 26 10 0.3846
132.7000 26 11 0.4231
135.0000 27 11 0.4074
136.9000 27 12 0.4444
139.1000 27 13 0.4815
140.0000 28 13 0.4643
145.0000 29 13 0.4483
150.0000 30 13 0.4333
153.0000 30 14 0.4667
155.0000 31 14 0.4516
155.1000 31 15 0.4839
155.7000 31 16 0.5161
160.0000 32 16 0.5000
160.4000 32 17 0.5313
165.0000 33 17 0.5152
170.0000 34 17 0.5000
173.2000 34 18 0.5294
175.0000 35 18 0.5143
175.5000 35 19 0.5429
180.0000 36 19 0.5278
183.1000 36 20 0.5556
183.3000 36 21 0.5833
185.0000 37 21 0.5676
189.8000 37 22 0.5946
190.0000 38 22 0.5789
195.0000 39 22 0.5641
198.4000 39 23 0.5897
199.3000 39 24 0.6154
200.0000 40 24 0.6000
205.0000 41 24 0.5854
205.6000 41 25 0.6098
210.0000 42 25 0.5952
215.0000 43 25 0.5814
215.8000 43 26 0.6047
219.8000 43 27 0.6279
220.0000 44 27 0.6136
222.2000 44 28 0.6364
224.2000 44 29 0.6591
225.0000 45 29 0.6444
230.0000 46 29 0.6304
230.1000 46 30 0.6522
231.4000 46 31 0.6739
231.5000 46 32 0.6957
232.9000 46 33 0.7174
235.0000 47 33 0.7021
240.0000 48 33 0.6875
240.9000 48 34 0.7083
242.7000 48 35 0.7292
245.0000 49 35 0.7143
246.7000 49 36 0.7347
246.7000 49 37 0.7551
247.6000 49 38 0.7755
250.0000 50 38 0.7600
253.5000 50 39 0.7800
255.0000 51 39 0.7647
259.6000 51 40 0.7843
260.0000 52 40 0.7692
262.8000 52 41 0.7885
265.0000 53 41 0.7736
267.1000 53 42 0.7925
270.0000 54 42 0.7778
275.0000 55 42 0.7636
276.0000 55 43 0.7818
277.3000 55 44 0.8000
277.4000 55 45 0.8182
280.0000 56 45 0.8036
285.0000 57 45 0.7895
290.0000 58 45 0.7759
295.0000 59 45 0.7627
296.4000 59 46 0.7797
300.0000 60 46 0.7667
305.0000 61 46 0.7541
305.9000 61 47 0.7705
306.1000 61 48 0.7869
310.0000 62 48 0.7742
311.5000 62 49 0.7903
315.0000 63 49 0.7778
320.0000 64 49 0.7656
321.3000 64 50 0.7813
322.1000 64 51 0.7969
325.0000 65 51 0.7846
330.0000 66 51 0.7727
332.3000 66 52 0.7879
334.2000 66 53 0.8030
335.0000 67 53 0.7910
340.0000 68 53 0.7794
345.0000 69 53 0.7681
348.0000 69 54 0.7826
349.6000 69 55 0.7971
349.9000 69 56 0.8116
350.0000 70 56 0.8000
355.0000 71 56 0.7887
360.0000 72 56 0.7778
360.0000 72 57 0.7917
360.4000 72 58 0.8056
365.0000 73 58 0.7945
370.0000 74 58 0.7838
371.6000 74 59 0.7973
371.8000 74 60 0.8108
374.1000 74 61 0.8243
374.8000 74 62 0.8378
375.0000 75 62 0.8267
375.2000 75 63 0.8400
380.0000 76 63 0.8289
385.0000 77 63 0.8182
388.5000 77 64 0.8312
390.0000 78 64 0.8205
395.0000 79 64 0.8101
397.3000 79 65 0.8228
397.8000 79 66 0.8354
400.0000 80 66 0.8250
405.0000 81 66 0.8148
406.1000 81 67 0.8272
410.0000 82 67 0.8171
415.0000 83 67 0.8072
420.0000 84 67 0.7976
425.0000 85 67 0.7882
430.0000 86 67 0.7791
430.1000 86 68 0.7907
435.0000 87 68 0.7816
440.0000 88 68 0.7727
441.4000 88 69 0.7841
445.0000 89 69 0.7753
448.1000 89 70 0.7865
448.6000 89 71 0.7978
449.8000 89 72 0.8090
450.0000 90 72 0.8000
455.0000 91 72 0.7912
455.5000 91 73 0.8022
457.9000 91 74 0.8132
460.0000 92 74 0.8043
465.0000 93 74 0.7957
466.9000 93 75 0.8065
470.0000 94 75 0.7979
471.7000 94 76 0.8085
473.5000 94 77 0.8191
475.0000 95 77 0.8105
475.8000 95 78 0.8211
477.4000 95 79 0.8316
480.0000 96 79 0.8229
484.2000 96 80 0.8333
485.0000 97 80 0.8247
490.0000 98 80 0.8163
494.5000 98 81 0.8265
495.0000 99 81 0.8182
497.0000 99 82 0.8283
499.7000 99 83 0.8384
499.8000 99 84 0.8485
500.0000 100 84 0.8400
505.0000 101 84 0.8317
510.0000 102 84 0.8235
515.0000 103 84 0.8155
517.6000 103 85 0.8252
518.7000 103 86 0.8350
519.1000 103 87 0.8447
520.0000 104 87 0.8365
522.5000 104 88 0.8462
525.0000 105 88 0.8381
530.0000 106 88 0.8302
535.0000 107 88 0.8224
540.0000 108 88 0.8148
540.4000 108 89 0.8241
545.0000 109 89 0.8165
550.0000 110 89 0.8091
555.0000 111 89 0.8018
558.4000 111 90 0.8108
560.0000 112 90 0.8036
562.2000 112 91 0.8125
565.0000 113 91 0.8053
568.1000 113 92 0.8142
569.8000 113 93 0.8230
570.0000 114 93 0.8158
575.0000 115 93 0.8087
575.7000 115 94 0.8174
580.0000 116 94 0.8103
582.0000 116 95 0.8190
583.1000 116 96 0.8276
585.0000 117 96 0.8205
590.0000 118 96 0.8136
590.6000 118 97 0.8220
593.6000 118 98 0.8305
594.4000 118 99 0.8390
595.0000 119 99 0.8319
598.5000 119 100 0.8403
600.0000 120 100 0.8333
600.7000 120 101 0.8417
601.2000 120 102 0.8500
601.3000 120 103 0.8583
605.0000 121 103 0.8512
