# messageDelay  cumulativeProbability
0.1000 0.0037
0.1000 0.0075
0.1000 0.0112
0.1000 0.0149
0.4000 0.0187
0.7000 0.0224
0.7000 0.0261
0.8000 0.0299
1.1000 0.0336
1.1000 0.0373
2.4000 0.0410
2.6000 0.0448
3.3000 0.0485
4.7000 0.0522
4.8000 0.0560
7.2000 0.0597
8.2000 0.0634
8.9000 0.0672
9.3000 0.0709
9.4000 0.0746
9.4000 0.0784
9.8000 0.0821
10.4000 0.0858
11.9000 0.0896
11.9000 0.0933
12.6000 0.0970
12.9000 0.1007
13.3000 0.1045
13.7000 0.1082
14.1000 0.1119
14.2000 0.1157
14.5000 0.1194
16.0000 0.1231
16.7000 0.1269
16.8000 0.1306
18.0000 0.1343
20.4000 0.1381
20.6000 0.1418
22.7000 0.1455
23.4000 0.1493
24.6000 0.1530
24.8000 0.1567
25.9000 0.1604
25.9000 0.1642
27.1000 0.1679
27.6000 0.1716
28.5000 0.1754
28.5000 0.1791
28.7000 0.1828
29.7000 0.1866
29.7000 0.1903
30.8000 0.1940
30.9000 0.1978
31.3000 0.2015
31.6000 0.2052
32.5000 0.2090
32.9000 0.2127
33.1000 0.2164
34.2000 0.2201
34.5000 0.2239
34.8000 0.2276
35.5000 0.2313
37.3000 0.2351
37.9000 0.2388
39.2000 0.2425
39.4000 0.2463
39.7000 0.2500
39.8000 0.2537
40.0000 0.2575
40.4000 0.2612
40.8000 0.2649
41.3000 0.2687
41.7000 0.2724
42.8000 0.2761
43.0000 0.2799
43.1000 0.2836
43.5000 0.2873
45.1000 0.2910
46.7000 0.2948
47.0000 0.2985
47.5000 0.3022
47.8000 0.3060
48.4000 0.3097
49.1000 0.3134
49.3000 0.3172
49.6000 0.3209
49.8000 0.3246
49.8000 0.3284
49.9000 0.3321
51.1000 0.3358
51.3000 0.3396
51.3000 0.3433
51.4000 0.3470
51.5000 0.3507
51.6000 0.3545
52.1000 0.3582
52.3000 0.3619
52.6000 0.3657
53.2000 0.3694
53.4000 0.3731
54.7000 0.3769
54.8000 0.3806
55.0000 0.3843
55.3000 0.3881
55.8000 0.3918
56.1000 0.3955
56.3000 0.3993
56.4000 0.4030
57.8000 0.4067
57.8000 0.4104
58.4000 0.4142
59.1000 0.4179
59.8000 0.4216
60.1000 0.4254
60.2000 0.4291
60.6000 0.4328
61.6000 0.4366
62.8000 0.4403
64.1000 0.4440
64.2000 0.4478
65.0000 0.4515
66.8000 0.4552
67.7000 0.4590
68.6000 0.4627
71.5000 0.4664
72.1000 0.4701
73.6000 0.4739
73.9000 0.4776
74.5000 0.4813
75.6000 0.4851
75.8000 0.4888
77.0000 0.4925
77.5000 0.4963
77.7000 0.5000
77.7000 0.5037
79.9000 0.5075
80.1000 0.5112
80.5000 0.5149
80.8000 0.5187
82.0000 0.5224
82.3000 0.5261
82.4000 0.5299
82.7000 0.5336
83.5000 0.5373
83.8000 0.5410
85.0000 0.5448
85.4000 0.5485
85.5000 0.5522
85.7000 0.5560
86.2000 0.5597
86.8000 0.5634
87.0000 0.5672
88.1000 0.5709
88.7000 0.5746
89.1000 0.5784
89.4000 0.5821
90.1000 0.5858
90.1000 0.5896
90.2000 0.5933
90.5000 0.5970
91.5000 0.6007
93.0000 0.6045
95.2000 0.6082
95.8000 0.6119
98.2000 0.6157
100.6000 0.6194
102.2000 0.6231
102.4000 0.6269
103.5000 0.6306
104.0000 0.6343
104.2000 0.6381
104.9000 0.6418
105.1000 0.6455
105.7000 0.6493
107.3000 0.6530
108.3000 0.6567
108.6000 0.6604
108.6000 0.6642
109.1000 0.6679
109.1000 0.6716
109.6000 0.6754
112.1000 0.6791
112.9000 0.6828
113.4000 0.6866
113.8000 0.6903
116.2000 0.6940
116.4000 0.6978
116.7000 0.7015
118.1000 0.7052
118.1000 0.7090
118.8000 0.7127
120.3000 0.7164
120.7000 0.7201
121.1000 0.7239
122.6000 0.7276
123.6000 0.7313
125.7000 0.7351
126.1000 0.7388
126.6000 0.7425
126.7000 0.7463
126.8000 0.7500
128.5000 0.7537
130.9000 0.7575
130.9000 0.7612
132.3000 0.7649
132.3000 0.7687
132.4000 0.7724
135.0000 0.7761
135.4000 0.7799
135.9000 0.7836
136.4000 0.7873
137.5000 0.7910
139.1000 0.7948
139.7000 0.7985
139.8000 0.8022
140.1000 0.8060
140.4000 0.8097
142.7000 0.8134
143.0000 0.8172
146.9000 0.8209
147.3000 0.8246
147.8000 0.8284
151.7000 0.8321
152.2000 0.8358
153.8000 0.8396
154.4000 0.8433
154.8000 0.8470
157.0000 0.8507
160.2000 0.8545
162.3000 0.8582
166.0000 0.8619
175.7000 0.8657
175.9000 0.8694
187.9000 0.8731
196.4000 0.8769
199.6000 0.8806
201.3000 0.8843
202.4000 0.8881
206.0000 0.8918
206.2000 0.8955
208.4000 0.8993
221.7000 0.9030
225.7000 0.9067
237.7000 0.9104
268.0000 0.9142
283.5000 0.9179
286.6000 0.9216
320.8000 0.9254
360.2000 0.9291
395.0000 0.9328
